time_sec,total_area_um2,num_active_islands,total_area_um2_smooth
503.733,95564.083,28,92211.987302
503.767,95564.083,28,92199.02227100001
503.8,95564.083,28,92186.05724000001
503.833,95564.083,28,92174.266155
503.867,95564.083,28,92162.47507000001
503.9,95564.083,28,92150.683985
503.933,94688.853,35,92138.8929
503.967,94688.853,35,92127.101815
504.0,94688.853,35,92123.418943
504.033,94688.853,35,92119.736071
504.067,94688.853,35,92116.053199
504.1,94688.853,35,92112.370327
504.133,94688.853,35,92108.68745499999
504.167,94688.853,35,92105.004583
504.2,92831.438,32,92101.321711
504.233,92831.438,32,92097.638839
504.267,92831.438,32,92092.58656899999
504.3,92831.438,32,92087.534299
504.333,92831.438,32,92082.482029
504.367,95803.791,34,92077.429759
504.4,95803.791,34,92072.37748899999
504.433,95803.791,34,92067.32521899999
504.467,95803.791,34,92061.244056
504.5,95803.791,34,92055.162893
504.533,95803.791,34,92049.08172999999
504.567,95803.791,34,92043.000567
504.6,95803.791,34,92035.39635
504.633,93010.907,30,92027.761402
504.667,93010.907,30,92020.126454
504.7,93010.907,30,92012.49150599999
504.733,93010.907,30,92007.26222399999
504.767,93010.907,30,92002.032942
504.8,93010.907,30,92001.61622400001
504.833,101357.6,31,92001.199506
504.867,101357.6,31,92002.474252
504.9,101357.6,31,92002.771734
504.933,101357.6,31,92004.20136500002
504.967,101357.6,31,92005.630996
505.0,101357.6,31,92007.06062699998
505.033,101357.6,31,92008.490258
505.067,101357.6,31,92007.07660500001
505.1,90907.642,21,92005.662952
505.133,90907.642,21,92004.249299
505.167,90907.642,21,92002.83564599999
505.2,90907.642,21,92001.889112
505.233,90907.642,21,92000.94257799999
505.267,90907.642,21,91999.996044
505.3,98728.207,29,91999.04951000001
505.333,98728.207,29,91998.10297600001
505.367,98728.207,29,91997.156442
505.4,98724.519,29,91996.209908
505.433,98724.519,29,91995.26337400002
505.467,98724.519,29,91994.31683999998
505.5,98724.519,29,91993.370306
505.533,98724.519,29,91992.423772
505.567,96358.189,26,91991.47723799999
505.6,96358.189,26,91990.53070399999
505.633,96358.189,26,91989.58417
505.667,93707.897,30,91990.68927500001
505.7,93707.897,30,91991.79437999999
505.733,93980.793,31,91992.899485
505.767,93980.793,31,91994.00459
505.8,93980.793,31,91995.109695
505.833,93980.793,31,91996.21480000002
505.867,93980.793,31,91997.319905
505.9,93980.793,31,91998.42501
505.933,88674.069,24,91995.662856
505.967,88674.069,24,91992.900702
506.0,88674.069,24,91990.13854799999
506.033,88674.069,24,91987.37639399999
506.067,88674.069,24,91984.61424
506.1,88674.069,24,91981.852086
506.133,88674.069,24,91982.643729
506.167,88674.069,24,91978.760489
